a cuatro aguas	a dos aguas
hablante	no hablante
hacia adelante	hacia atrás
hacia adentro	hacia afuera
hambriento	sediento
haploide	poliploide
hecho a mano	hecho a máquina
hecho a medida	hecho en serie
herbáceo	leñoso
herbívoro	omnívoro
hereditable	no hereditable
heterocerca	homocerca
heterocigoto	homocigoto
heterodáctilo	zygodáctilo
heterogéneo	homogéneo
heterosexual	homosexual
heterólogo	homólogo
hidrocinético	hidroestático
hidrofílico	hidrofóbico
hipermétrope	miopía
hipertensivo	hipotensivo
hipertensivo	normotensivo
hipertónico	hipotónico
hipertónico	isotónico
hipotensivo	normotensivo
hipotónico	isotónico
hipócrita	sincero
holofítico	holozóico
hondo	superficial
honesto	insincero
honorable	insincero
horizontal	inclinado
horizontal	vertical
horrible	simpático
hospitalario	inhóspito
hueco	sólido
humano	inhumano
humano	no humano
humilde	orgulloso
humorístico	sin humor
hundible	inhundible
hábil	torpe
hábil	tosco
hídrico	xerico
hídricos	mésoficos
húmedo	seco
húmedo	árido
identificable	inidentificable
identificable	no identificable
idiográfico	nomotético
idóneo	inadecuado
idóneo	inigual
ignoble	noble
ignorado	reconocido
igual	inadecuado
igual	inigual
ilegal	legal
ilegal	legítimo
ilegal	lícito
ilegible	legible
ilegítimo	legítimo
ileso	lesionado
ilimitado	limitado
iluminado	no iluminado
iluminado	sombreado
iluminado por la luna	sin luna
iluminador	no iluminador
ilícito	lícito
ilógico	lógico
imbécil	listo
imitado	real
imitado	verdadero
imitativo	no imitativo
imitativo	real
imitativo	verdadero
immodesto	modesto
impaciente	paciente
impalpable	palpable
impar	par
imparcial	parcial
imparcial	prejuiciado
impasible	lloroso
impenetrable	penetrable
impenetrable	perforable
impenitente	penitente
impensable	pensable
imperativo	suplicante
imperceptible	perceptible
imperdonable	perdonable
imperfecto	perfecto
imperishable	perecedero
impermanente	permanente
impermeable	permeable
impermisible	permisible
impersonal	personal
implacable	perdonador
implacable	placable
implausible	plausible
implorante	primordial
impolítico	político
impolítico	prudente
impolítico	sensato
imponderable	ponderable
imponible	no imponible
impopular	popular
importante	insignificante
importante	poco importante
imposible	posible
impotente	poderoso
impotente	potente
impreciso	marcado
impreciso	preciso
impredecible	predecible
imprescindible	prescindible
impresionante	poco impresionante
imprimible	no imprimible
improbable	probable
improductivo	productivo
impropicio	propicio
impropio	propicio
imprudente	prudente
impráctico	práctico
impuntual	puntual
impuro	purificado
impuro	puro
impío	piadoso
impío	sagrado
impío	santo
in vitro	in vivo
inactivo	ocupado
inadecuado	oportuno
inadvertido	notable
inadvertido	sensible
inanimado	vivaz
inanimado	vivo
inarmónico	melódico
incapaz	útil
incierto	inevitable
incierto	seguro
inclinada	vertical
inclinado	vertical
increíble	verosímil
incógnito	sabido
indefinida	preciso
indefinida	seguro
indefinido	preciso
indefinido	seguro
indigno	merecido
indulgente	no indulgente
industrial	no industrial
inevitable	prevención
inexacto	preciso
infeccioso	no infeccioso
inferior	lateral
inferior	mayor
inferior	superior
infernal	supernal
influyente	no influyente
informable	noninformable
informativo	no informativo
infructuoso	productivo
infructífero	productivo
ingenuo	insincera
ingenuo	insincero
ingenuo	sofisticado
inicuo	justo
inicuo	recto
injugable	jugable
injusto	justo
injusto	recto
inmaculado	manchado
inmaduro	maduro
inmaduro	medio
inmaduro	temprano
inmanejable	manejable
inmanente	transitorio
inmaterial	material
inmediato	mediado
inmedible	medible
inmerecido	merecido
inmiscible	miscible
inmodificable	modificable
inmoral	moral
inmortal	mortal
inmovilizado	movido
inmundo	mundano
inmunocompetente	inmunodeficiente
inmutable	mutable
inmóvil	móvil
innavegable	navegable
innecesario	necesario
innegable	negable
innumerable	numerable
inocuo	nocivo
inodoro	odoroso
inofensivo	ofensivo
inofensivo	perjudicial
inolvidable	olvidable
inoperable	operable
inoperante	operativo
inoperativa	operativo
inoperativo	operativo
inoportuno	oportuno
inorgánico	orgánico
inpronunciable	pronunciable
inpuenteable	puenteable
inquebrantable	quebrantable
inquietante	reconfortante
inquietante	tranquilizador
inquieto	pacífico
inquieto	relajado
inquieto	tranquilo
insaciable	saciado
insalubre	saludable
insalubre	sanitario
insano	sano
insatisfactorio	satisfactorio
insatisfecho	satisfecho
insaturado	saturado
insectívoro	omnívoro
inseguro	posible
inseguro	probable
inseguro	seguro
insensacional	sensacional
insensato	prudente
insensible	sensible
insensible	suscetible
insignificante	significativo
insincero	sincero
insociable	sociable
insociable	social
insoluble	soluble
insolvente	solvente
inspirador	mediocre
institucional	no institucional
institucionalizado	no institucionalizado
instructivo	no instructivo
instrumental	vocal
insubordinado	subordinado
insuficiente	suficiente
insumiso	servil
insuperable	superable
insusceptible	susceptible
insustancial	sustancial
insípido	sabroso
insólito	normal
insólito	ordinario
insólito	usual
intacto	roto
intangible	tangible
integrado	no integrado
integrado	segregado
intelectual	no intelectual
inteligente	uninteligente
inteligible	uninteligible
intemperante	templado
intencionado	no intencionado
intencional	sin propósito
intensificando	moderando
intenso	ligero
intenso	suave
intercambiable	no intercambiable
interdepartamental	intradepartamental
interesante	no interesante
interespecies	intraespecies
interestatal	intrastatal
intermedio	terminal
internacional	nacional
intestado	testado
intocado	tocado
intolerable	tolerable
intolerante	tolerante
intoxicado	sobrio
intra vires	ultra vires
intraducible	traducible
intransferible	transferible
intransitable	transitable
intransitivo	transitivo
intratables	tractables
intrusivo	no intrusivo
intruso	protruyente
inusual	típico
inutilizable	utilizable
invariable	variable
invariado	variado
invasivo	no invasivo
invendible	vendible
invernal	otoñal
invernal	primaveral
invernal	resumido
invertebrado	vertebrado
invertible	no invertible
inviolable	violable
invisible	notable
invisible	obvio
invisible	visible
involuntario	voluntario
invulnerable	vulnerable
inválido	válido
inyectable	no inyectable
inánime	vivaz
inánime	vivo
inútil	valioso
inútil	útil
ionizado	no ionizado
ir	no ir
irracional	racional
irrazonable	razonable
irreal	natural
irreal	real
irrealista	realista
irrecuperable	recuperable
irreducible	reducible
irregular	regular
irregular	uniforme
irrelevante	relevante
irreligioso	religioso
irremediable	remediable
irremovible	removible
irremplazable	reemplazable
irreparable	reparable
irreproducible	reproducible
irresistible	resistible
irrespetable	respetable
irrespetuoso	respetuoso
irresponsable	responsable
irreverente	reverente
irreversible	reversible
irrevocable	revocable
isométrico	isotónico
iónico	no iónico
jerárquico	no jerárquico
joven	viejo
jugoso	sin jugo
juguetón	serio
junior	senior
juramentado	no juramentado
justo	parcial
laico	religioso
lamentado	no lamentado
lateral	superior
lavable	no lavable
lavado de cerebro	no lavado de cerebro
laxo	rígido
laxo	tenso
laxo	tirante
legato	staccato
lejano	íntimo
lentic	lotic
lento	rápido
lento	veloz
levantado	sin levadura
libre	no libre
libre de gérmenes	lleno de gérmenes
libre de óxido	oxidado
liderando	siguiendo
ligero	pesado
ligero de pies	pesado de pies
limpio	manchado
limpio	sucio
lineal	no lineal
lineal	planar
lingüístico	no lingüístico
liso	rizado
liso	surcado
liso	áspero
listado	no listado
listo	no listo
listo	tonto
llano	áspero
llenado	no llenado
lleno	vacío
lleno de malezas	sin malezas
local	nacional
lubricado	sin lubricar
luminoso	oscuro
líquido	sólido
maderado	sin maderar
maduro	verde
magnético	no magnético
magro	rico
mal utilizado	utilizado
malicioso	no malicioso
malteado	sin maltear
malvado	virtuoso
manejado	sin manejar
marcado	sin marcar
marinero	no marinero
masculino	neutro
masoquista	sádico
maternal	paternal
matriarcal	patriarcal
mayor	menor
mayúscula	Minúscula
mayúscula	minúscula
mecánico	no mecánico
medio	tarde
medio	tardío
medio	temprano
medio tiempo	tiempo completo
mejor	peor
mejorado	no mejorado
melódico	no melódico
menor	principal
menos	más
meridional	septentrional
metamórfico	no metamórfico
metido	sacado
metálico	no metálico
mezclado	sin mezclar
midi	mini
mielinizado	no mielinizado
migratorio	no migratorio
militar	no militar
mismo	otro
mitigado	no mitigado
moderno	no moderno
modificado	no modificado
modulado	no modulado
mojado	seco
molar	molecular
monoclínico	tricllínico
monocromático	policromático
monofónico	polifónico
monogámico	poligámico
monolingüe	multilingüe
mononuclear	trinucleado
monoteísta	politeísta
monovalente	polivalente
monótono	no monótono
moreno	rubio
motorizado	no motorizado
moviéndose	quieto
mucho	poco
muchos	pocos
mucoso	seco
muerto	vivo
multi-carril	un solo carril
multidimensional	unidimensional
multiforme	uniforme
multilateral	unilateral
multinucleado	uninucleado
multipara	unipara
multivalente	univalente
muriendo	naciente
musical	no musical
máximo	mínimo
médico	operatorio
médico	quirúrgico
móvil	sésil
múltiple	único
nacido	no nacido
nacido	sin nariz
nada	todo
nativo	no nativo
natural	plano
natural	sobrenatural
negativo	neutral
negativo	positivo
negativo	útil
neurótico	no neurótico
neutral	positivo
neutral	sesgado
nidícola	nidífugo
ningún	todo
no notado	notado
no obvio	obvio
no ofensivo	ofensivo
no oficial	oficial
no operativo	operativo
no oponible	oponible
no opuesto	opuesto
no original	original
no ortodoxo	ortodoxo
no pagado	pagado
no particulado	particulado
no paseriforme	paseriforme
no patrocinado	patrocinado
no permisivo	permisivo
no pintable	pintable
no planchado	planchado
no planificado	planificado
no plumado	plumado
no plumoso	plumoso
no político	político
no poroso	poroso
no portátil	portable
no posado	posado
no poseído	poseído
no premeditado	premeditado
no prensil	prensil
no presidencial	presidencial
no principiado	principiado
no probado	probado
no profesional	profesional
no profético	profético
no programado	programado
no propietario	propietario
no protector	protector
no provocador	provocador
no psicoactivo	psicoactivo
no publicable	publicable
no publicado	publicado
no quirúrgico	quirúrgico
no racial	racial
no radiactivo	radiactivo
no rastreable	rastreable
no reactivo	reactivo
no receptivo	responsive
no recolectado	recolectado
no reconocido	reconocido
no reconstruido	reconstruido
no recíproco	recíproco
no reduciible	reduciible
no refinado	refinado
no reflectante	reflectante
no reflejado	reflejado
no registrado	registrado
no regulado	regulado
no relacionado	relacionado
no renovable	renovable
no rentable	rentable
no repetible	repetible
no repetitivo	repetitivo
no reportado	reportado
no representacional	representacional
no representativo	representativo
no reservado	reservado
no residencial	residencial
no residente	residente
no restrictivo	restrictivo
no retentivo	retentivo
no reticulado	reticulado
no retornable	retornable
no retráctil	retráctil
no retórico	retórico
no reverberante	reverberante
no reversible	reversible
no revivido	revivido
no rumiantes	rumiantes
no rígido	rígido
no sacerdotal	sacerdotal
no saludable	saludable
no saponificado	saponificado
no sarcástico	sarcástico
no sectario	sectario
no seleccionado	seleccionado
no sellado	sellado
no sembrado	sembrado
no servil	servil
no shearado	shearado
no silenciado	silenciado
no silábico	silábico
no sistemático	sistemático
no solicitado	solicitado
no soportado	soportado
no sorprendente	sorprendente
no sorprendido	sorprendido
no sospechado	sospechado
no sumergible	sumergible
no supervisado	supervisado
no supurativo	supurativo
no talentoso	talentoso
no teatral	teatral
no terminado	terminado
no territorial	territorial
no tradicional	tradicional
no translacional	translacional
no tratado	tratado
no tripulado	tripulado
no técnico	técnico
no térmico	térmico
no tóxico	tóxico
no unión	unión
no usable	usable
no vendido	vendido
no vengado	vengado
no viajado	viajado
no violento	violento
no volátil	volátil
no ético	ético
nocivo	saludable
nominal	real
nonsignificativo	significativo
normal	paralelo
normal	paranormal
norte	sur
nuevo	viejo
nulo	válido
numérico	verbal
objetivo	subjetivo
oblato	prolato
oblicuo	paralelo
oblicuo	perpendicular
obligatorio	opcional
occidental	oriental
ocultar	revelar
odioso	simpático
oleofílico	oleofóbico
opciones múltiples	verdadero-falso
opisthognato	prognato
optimista	pesimista
orante	primordial
oscuro	pálido
otoñal	veraniego
ovovivíparo	ovíparo
ovovivíparo	vivíparo
ovíparo	vivíparo
oyente	sordo
pacífico	turbulento
pagano	religioso
palatable	poco apetecible
paradigmático	sintagmático
paralelo	perpendicular
parcial	recto
pasado	presente
pedunculado	sésil
pelado	sin pelar
peligroso	seguro
pelucado	sin peluca
peludo	sin pelo
perceptivo	poco perceptivo
perfecto	relativo
perfumado	sin olor
perinatal	postnatal
perinatal	prenatal
permanente	temporal
permisivo	preventivo
perplejo	sereno
perverso	virtuoso
pesado	sin peso
pidiendo disculpas	sin disculpas
pieza única	tres piezas
pintado	sin pintar
piso	techado
plomo	sin plomo
plural	singular
pobre	rico
poco atractivo	sexy
poco gratificante	recompensante
poco receptivo	receptivo
poco seductor	seductor
poco solidario	solidario
popa	proa
posible	real
posible	verdadero
posnatal	prenatal
posterior	previo
postguerra	preguerra
postnupcial	prenuptial
postprandial	preprandial
potencial	real
potencial	verdadero
precedente	siguiente
precedente	subsiguiente
precedente	sucedente
precedented	sin precedentes
precocidad	retraso
pretencioso	sin pretensiones
previo	subsiguiente
previo	ulterior
primario	secundario
primero	segundo
primero	último
primordial	suplicante
principal	secundario
principal	siguiente
privado	público
proactivo	retroactivo
procesado	sin procesar
producido	sencillo
producido	simple
productivo	yermo
profano	sagrado
profundo	superficial
progresivo	regresivo
propina	sin propina
prospectivo	retrospectivo
próximo	último
publicitado	suprimido
pulido	sin pulir
punitivo	rehabilitador
puntiagudo	sin sentido
puro	relativo
quejoso	tranquilo
radiolucido	radiopaco
ramificado	sin ramas
rayado	sin rayas
recortado	sin recortar
recto	torcido
recubierto	sin recubrir
reentrante	saliente
relajado	tenso
relativo	total
religioso	secular
remota	íntimo
remoto	íntimo
rencoroso	sin rencor
resistente	tierno
respirando	sin aliento
restringido	sin restricciones
resuelto	sin resolver
rh-negativo	rh-positivo
rima	sin rima
ruidoso	silencioso
ruidoso	tranquilo
rural	urbano
rígido	suelto
río abajo	río arriba
sabio	tonto
sabroso	soso
sangre caliente	sangre fría
sanguinario	sin sangre
seguro	tímido
sellado	sin sellar
sencillo	sofisticado
severo	tierno
simple	sofisticado
sin agallas	valiente
sin tacto	táctico
sin tallar	tallado
sin tamaño	tamaño
sin tapa	tapa
sin templar	templado
sin tierra	terroso
sin ventilación	ventilado
sin vidriar	vidriado
sobrecabeza	superficie
sobrecarga	subsuperficial
sonico	supersónico
sonoro	sordo
suave	áspero
subhumano	superhumano
subscrito	superescrito
subsuperficie	superficie
subsónico	supersónico
subsónico	sónico
subyacente	superyacente
subíndice	superescrito
subíndice	superíndice
suelto	tenso
suelto	tirante
tarde	temprano
tardío	temprano
termoestable	termoplástico
torpe	ágil
tónico	átono
ungiculado	ungulado
vano	útil
